Place Name	Latitude	 Longitude

Wisconsin	44.500000	-89.500000
West Virginia	39.000000	-80.500000
Vermont		44.000000	-72.699997
Texas		31.000000	-100.00000
South Dakota	44.500000	-100.00000
Rhode Island	41.742325	-71.742332
Oregon		44.000000	-120.50000
New York	43.000000	-75.000000
New Hampshire	44.000000	-71.500000
Nebraska	41.500000	-100.00000
Kansas		38.500000	-98.000000
Mississippi	33.000000	-90.000000
Illinois	40.000000	-89.000000
Delaware	39.000000	-75.500000
Connecticut	41.599998	-72.699997
Arkansas	34.799999	-92.199997
Indiana		40.273502	-86.126976
Missouri	38.573936	-92.603760
Florida		27.994402	-81.760254
Nevada		39.876019	-117.22412

END
